Age,Gender,Department,Monthly_Income,Total_Experience,Tenure_At_Co,Overtime_Eligible,Attrition_Status
32.0,Male,Marketing,4377.0,29.0,11.0,Yes,No
55.0,Female,Engineering,4936.0,16.0,12.0,No,Yes
44.0,Male,Marketing,15931.0,8.0,0.0,No,No
29.0,Male,Sales,3478.0,30.0,21.0,No,No
31.0,Female,Sales,6599.0,26.0,10.0,Yes,No
20.0,Non-Binary,Marketing,17544.0,34.0,21.0,Yes,No
43.0,Female,Sales,7143.0,38.0,13.0,No,No
55.0,Male,Hr,13893.0,35.0,7.0,Yes,No
58.0,Female,Engineering,15970.0,9.0,5.0,Yes,No
22.0,Female,Sales,10912.0,34.0,6.0,No,No
39.0,Male,Hr,16505.0,18.0,18.0,Yes,No
38.0,Female,Hr,8715.0,13.0,3.0,Yes,No
47.0,Female,Sales,4159.0,20.0,5.0,Yes,No
55.0,Non-Binary,Marketing,15292.0,39.0,5.0,No,No
49.0,Male,Marketing,10986.0,15.0,11.0,Yes,No
41.0,Non-Binary,Sales,2866.0,22.0,22.0,Yes,No
56.0,Male,Sales,11302.0,36.0,11.0,No,No
53.0,Male,Sales,13618.0,25.0,7.0,No,No
49.0,Female,Marketing,3237.0,35.0,23.0,Yes,No
51.0,Male,Sales,11574.0,1.0,0.0,Yes,Yes
31.0,Non-Binary,Hr,13098.0,23.0,19.0,Yes,No
50.0,Male,Finance,10970.0,28.0,21.0,No,No
31.0,Female,Hr,10421.0,33.0,17.0,No,No
56.0,Female,Marketing,17205.0,1.0,1.0,No,No
43.0,Female,Marketing,2623.0,9.0,2.0,Yes,No
50.0,Female,Finance,6419.0,29.0,2.0,Yes,No
47.0,Male,Marketing,11828.0,10.0,7.0,Yes,No
57.0,Female,Engineering,16877.0,39.0,15.0,No,No
47.0,Male,Hr,6064.0,6.0,6.0,Yes,No
57.0,Female,Hr,4046.0,37.0,30.0,Yes,No
52.0,Female,Finance,4501.0,12.0,10.0,No,No
23.0,Female,Engineering,9018.0,30.0,25.0,Yes,Yes
27.0,Non-Binary,Sales,7122.0,13.0,0.0,Yes,No
48.0,Female,Finance,11518.0,32.0,8.0,No,No
25.0,Female,Finance,7512.0,31.0,22.0,Yes,No
59.0,Non-Binary,Finance,3873.0,7.0,4.0,No,No
34.0,Male,Engineering,11693.0,10.0,0.0,No,No
54.0,Female,Hr,14910.0,28.0,4.0,Yes,No
55.0,Non-Binary,Hr,13293.0,30.0,1.0,No,No
52.0,Male,Sales,4774.0,18.0,0.0,Yes,No
47.0,Male,Finance,16785.0,31.0,27.0,Yes,No
20.0,Non-Binary,Finance,13195.0,36.0,12.0,Yes,No
34.0,Female,Engineering,17249.0,19.0,2.0,No,No
52.0,Female,Sales,9581.0,19.0,0.0,Yes,No
56.0,Female,Engineering,45683.49132420091,19.0,7.0,No,No
47.0,Non-Binary,Marketing,11214.0,19.0,12.0,No,No
37.0,Male,Finance,6654.0,29.0,6.0,No,No
33.0,Male,Engineering,9027.0,19.0,10.0,Yes,Yes
45.0,Male,Sales,5395.0,20.0,18.0,No,No
30.0,Non-Binary,Finance,10176.0,21.0,13.0,No,No
51.0,Non-Binary,Hr,12779.0,31.0,30.0,Yes,No
46.0,Female,Engineering,11058.0,5.0,0.0,No,No
42.0,Male,Engineering,4643.0,10.0,9.0,Yes,No
58.0,Male,Engineering,6053.0,38.0,16.0,No,No
38.0,Male,Marketing,45683.49132420091,18.0,17.0,Yes,No
33.0,Non-Binary,Hr,16278.0,33.0,20.0,No,No
47.0,Female,Marketing,12042.0,35.0,2.0,No,No
22.0,Female,Engineering,17416.0,30.0,10.0,No,No
59.0,Non-Binary,Engineering,11479.0,34.0,18.0,No,No
54.0,Female,Hr,9023.0,16.0,2.0,No,No
23.0,Male,Finance,8414.0,17.0,14.0,Yes,No
35.0,Non-Binary,Marketing,16468.0,36.0,13.0,No,Yes
50.0,Male,Finance,10873.0,34.0,19.0,Yes,No
49.0,Female,Finance,16177.0,11.0,6.0,Yes,No
30.0,Non-Binary,Hr,9290.0,14.0,2.0,No,No
54.0,Female,Engineering,4143.0,12.0,6.0,No,Yes
46.0,Female,Hr,3572.0,29.0,6.0,Yes,Yes
26.0,Female,Engineering,15212.0,37.0,20.0,Yes,No
53.0,Female,Sales,12788.0,19.0,10.0,Yes,No
31.0,Female,Sales,6787.0,10.0,1.0,Yes,No
50.0,Male,Marketing,12754.0,16.0,6.0,No,No
26.0,Female,Engineering,16846.0,16.0,11.0,No,Yes
35.0,Female,Sales,15066.0,18.0,6.0,Yes,No
51.0,Male,Finance,7657.0,7.0,0.0,Yes,No
23.0,Female,Engineering,5438.0,8.0,6.0,No,No
31.0,Non-Binary,Hr,2943.0,33.0,4.0,Yes,No
48.0,Non-Binary,Engineering,15503.0,30.0,9.0,Yes,No
26.0,Female,Finance,13277.0,31.0,7.0,Yes,No
27.0,Female,Hr,6249.0,3.0,2.0,Yes,No
40.0,Non-Binary,Engineering,4930.0,8.0,6.0,Yes,No
45.0,Male,Marketing,4041.0,22.0,15.0,No,Yes
54.0,Male,Hr,14877.0,15.0,7.0,Yes,Yes
27.0,Male,Marketing,17759.0,30.0,22.0,Yes,No
41.0,Non-Binary,Hr,17299.0,21.0,13.0,No,No
25.0,Male,Marketing,13862.0,18.0,16.0,No,No
50.0,Male,Engineering,8014.0,8.0,7.0,No,No
21.0,Female,Hr,9877.0,7.0,5.0,No,Yes
41.0,Female,Engineering,15992.0,4.0,4.0,Yes,No
54.0,Female,Sales,12858.0,30.0,14.0,No,No
59.0,Female,Marketing,14181.0,12.0,9.0,No,No
20.0,Female,Sales,2508.0,36.0,8.0,No,No
26.0,Male,Engineering,9811.0,8.0,2.0,No,No
43.0,Male,Sales,11150.0,8.0,5.0,No,No
38.0,Male,Finance,17706.0,33.0,0.0,Yes,No
28.0,Male,Marketing,3621.0,8.0,5.0,Yes,No
42.0,Male,Marketing,7863.0,10.0,7.0,Yes,No
47.0,Female,Hr,5256.0,32.0,20.0,Yes,No
24.0,Female,Hr,13655.0,30.0,12.0,No,Yes
35.0,Female,Engineering,11581.0,18.0,10.0,No,No
52.0,Male,Finance,10562.0,31.0,11.0,Yes,No
21.0,Female,Finance,6950.0,5.0,5.0,Yes,No
43.0,Male,Finance,10656.0,6.0,4.0,Yes,No
36.0,Female,Finance,15872.0,39.0,19.0,No,Yes
41.0,Female,Finance,12910.0,38.0,0.0,No,No
31.0,Female,Engineering,13483.0,35.0,14.0,No,No
23.0,Female,Finance,14174.0,23.0,13.0,Yes,No
50.0,Female,Marketing,6510.0,7.0,5.0,Yes,No
39.0,Female,Engineering,7596.0,20.0,3.0,Yes,No
53.0,Female,Hr,4562.0,8.0,2.0,No,No
30.0,Female,Hr,45683.49132420091,3.0,0.0,No,No
34.0,Male,Finance,4720.0,20.0,2.0,No,No
51.0,Male,Engineering,9955.0,23.0,22.0,Yes,No
25.0,Non-Binary,Sales,17791.0,12.0,2.0,No,Yes
49.0,Female,Engineering,17682.0,30.0,16.0,No,No
30.0,Non-Binary,Hr,3865.0,4.0,1.0,Yes,No
36.0,Female,Hr,45683.49132420091,21.0,17.0,No,No
43.0,Male,Hr,7220.0,6.0,6.0,Yes,No
20.0,Female,Hr,5769.0,21.0,11.0,No,Yes
27.0,Male,Marketing,17183.0,8.0,4.0,No,No
43.0,Female,Marketing,7754.0,6.0,4.0,Yes,No
56.0,Female,Engineering,9999.0,20.0,9.0,Yes,Yes
45.0,Female,Marketing,4046.0,32.0,25.0,No,No
34.0,Male,Engineering,7407.0,29.0,0.0,No,No
44.0,Non-Binary,Hr,10331.0,5.0,1.0,Yes,No
38.0,Female,Engineering,8703.0,26.0,2.0,No,Yes
20.0,Non-Binary,Finance,8175.0,16.0,3.0,No,No
29.0,Female,Hr,6348.0,19.0,9.0,Yes,Yes
21.0,Non-Binary,Engineering,7707.0,24.0,22.0,Yes,No
32.0,Male,Sales,15937.0,32.0,30.0,No,No
44.0,Male,Engineering,11539.0,38.0,13.0,Yes,No
59.0,Non-Binary,Sales,45683.49132420091,26.0,1.0,Yes,Yes
57.0,Female,Marketing,9860.0,34.0,1.0,Yes,No
38.0,Male,Hr,14698.0,36.0,15.0,Yes,No
22.0,Male,Finance,8298.0,12.0,4.0,Yes,No
50.0,Male,Marketing,11906.0,36.0,15.0,No,No
36.0,Male,Marketing,16916.0,28.0,4.0,Yes,No
49.0,Female,Finance,2784.0,9.0,1.0,No,Yes
54.0,Male,Marketing,11311.0,39.0,17.0,Yes,No
38.0,Female,Hr,5647.0,13.0,9.0,No,No
25.0,Female,Hr,14623.0,27.0,2.0,No,Yes
21.0,Non-Binary,Engineering,11780.0,8.0,2.0,No,No
57.0,Female,Hr,8497.0,30.0,9.0,No,No
48.0,Female,Sales,8292.0,2.0,1.0,No,Yes
26.0,Non-Binary,Sales,17727.0,17.0,2.0,Yes,No
25.0,Female,Sales,9846.0,2.0,2.0,Yes,No
24.0,Non-Binary,Engineering,10402.0,32.0,3.0,No,No
55.0,Male,Hr,11876.0,17.0,17.0,Yes,No
53.0,Female,Marketing,12125.0,12.0,3.0,Yes,No
45.0,Male,Hr,10878.0,31.0,9.0,Yes,No
24.0,Male,Finance,11365.0,30.0,26.0,Yes,Yes
33.0,Non-Binary,Marketing,5534.0,16.0,16.0,No,Yes
49.0,Female,Finance,45683.49132420091,3.0,0.0,Yes,No
32.0,Male,Hr,9630.0,4.0,4.0,Yes,No
28.0,Male,Marketing,6680.0,2.0,0.0,Yes,No
34.0,Female,Sales,45683.49132420091,11.0,7.0,Yes,No
39.0,Male,Hr,8524.0,7.0,7.0,Yes,No
33.0,Male,Sales,3419.0,24.0,8.0,Yes,No
41.0,Female,Marketing,17172.0,25.0,17.0,No,No
31.0,Male,Finance,12861.0,19.0,4.0,Yes,Yes
41.0,Female,Hr,10202.0,12.0,4.0,No,Yes
58.0,Female,Engineering,13891.0,19.0,18.0,Yes,Yes
59.0,Male,Engineering,3725.0,26.0,18.0,Yes,No
45.0,Male,Hr,16025.0,9.0,0.0,No,Yes
26.0,Female,Sales,17142.0,36.0,27.0,Yes,No
47.0,Male,Engineering,5852.0,23.0,2.0,No,Yes
53.0,Male,Engineering,16404.0,5.0,3.0,Yes,No
24.0,Male,Sales,3057.0,18.0,3.0,No,No
54.0,Female,Engineering,4385.0,22.0,17.0,Yes,No
54.0,Female,Marketing,13473.0,27.0,12.0,No,No
58.0,Female,Marketing,4990.0,3.0,3.0,Yes,No
21.0,Female,Sales,6476.0,2.0,2.0,No,No
36.0,Female,Marketing,6291.0,1.0,0.0,No,No
26.0,Female,Finance,16634.0,21.0,18.0,No,No
20.0,Male,Marketing,8173.0,8.0,8.0,Yes,No
41.0,Female,Engineering,3316.0,13.0,13.0,No,No
21.0,Female,Marketing,4991.0,15.0,7.0,Yes,No
23.0,Female,Hr,3717.0,23.0,22.0,No,No
51.0,Female,Marketing,10952.0,20.0,6.0,Yes,No
25.0,Male,Hr,11593.0,2.0,1.0,Yes,No
29.0,Female,Sales,14852.0,22.0,7.0,No,No
53.0,Male,Engineering,7602.0,27.0,0.0,Yes,No
46.0,Non-Binary,Sales,6904.0,21.0,4.0,Yes,No
43.0,Female,Engineering,7408.0,14.0,13.0,Yes,Yes
40.0,Female,Finance,10601.0,15.0,4.0,No,No
33.0,Male,Marketing,14177.0,2.0,1.0,No,No
46.0,Female,Sales,3833.0,4.0,1.0,No,No
58.0,Female,Sales,17432.0,15.0,12.0,No,No
32.0,Male,Finance,7914.0,15.0,1.0,Yes,No
29.0,Female,Engineering,4533.0,24.0,24.0,No,Yes
33.0,Male,Sales,7052.0,15.0,2.0,Yes,No
20.0,Female,Engineering,7241.0,6.0,1.0,No,No
47.0,Male,Engineering,9125.0,24.0,24.0,Yes,No
37.0,Female,Hr,17569.0,9.0,0.0,No,No
32.0,Male,Sales,17201.0,12.0,0.0,No,No
51.0,Female,Engineering,4269.0,20.0,19.0,No,No
31.0,Female,Marketing,14602.0,26.0,20.0,No,No
46.0,Male,Hr,16131.0,37.0,27.0,No,No
55.0,Female,Engineering,17475.0,32.0,8.0,Yes,No
42.0,Non-Binary,Marketing,9486.0,14.0,11.0,No,No
24.0,Non-Binary,Marketing,3997.0,4.0,1.0,Yes,No
32.0,Female,Finance,45683.49132420091,32.0,6.0,No,No
57.0,Female,Finance,12333.0,16.0,9.0,No,No
51.0,Non-Binary,Marketing,8883.0,7.0,5.0,Yes,No
57.0,Female,Hr,11946.0,38.0,4.0,Yes,No
58.0,Female,Engineering,45683.49132420091,28.0,2.0,Yes,No
38.0,Female,Finance,17441.0,12.0,3.0,No,No
59.0,Female,Finance,13285.0,7.0,4.0,Yes,No
41.0,Male,Hr,15325.0,39.0,14.0,Yes,No
26.0,Female,Finance,12647.0,37.0,4.0,No,Yes
41.0,Female,Marketing,10233.0,15.0,9.0,Yes,Yes
44.0,Male,Finance,9743.0,29.0,17.0,Yes,No
59.0,Non-Binary,Finance,9881.0,21.0,5.0,No,No
32.0,Female,Finance,15056.0,2.0,0.0,No,Yes
53.0,Female,Hr,10709.0,10.0,6.0,No,No
52.0,Female,Hr,17960.0,26.0,4.0,Yes,No
51.0,Female,Finance,17254.0,2.0,0.0,No,No
42.0,Male,Hr,7262.0,25.0,0.0,No,No
55.0,Non-Binary,Marketing,11279.0,31.0,6.0,Yes,Yes
23.0,Female,Sales,16594.0,18.0,2.0,Yes,No
21.0,Female,Marketing,9299.0,28.0,10.0,Yes,No
36.0,Male,Finance,14191.0,1.0,0.0,No,No
45.0,Non-Binary,Finance,9094.0,35.0,4.0,Yes,No
22.0,Female,Sales,6287.0,7.0,1.0,Yes,Yes
24.0,Male,Marketing,16513.0,23.0,0.0,No,No
24.0,Male,Finance,9719.0,27.0,15.0,Yes,Yes
39.0,Male,Marketing,5746.0,1.0,1.0,No,No
23.0,Female,Hr,15385.0,11.0,7.0,No,No
32.0,Male,Finance,12169.0,10.0,6.0,No,No
31.0,Non-Binary,Sales,11286.0,11.0,11.0,Yes,No
59.0,Male,Hr,6214.0,35.0,0.0,No,No
49.0,Female,Sales,6003.0,19.0,9.0,Yes,No
32.0,Male,Engineering,9434.0,14.0,12.0,No,No
58.0,Male,Finance,3623.0,28.0,25.0,Yes,No
21.0,Male,Sales,14052.0,37.0,23.0,Yes,No
20.0,Female,Sales,10941.0,19.0,8.0,Yes,No
25.0,Male,Finance,2681.0,33.0,10.0,No,No
55.0,Female,Engineering,12968.0,6.0,4.0,Yes,Yes
24.0,Female,Finance,16515.0,16.0,13.0,Yes,No
40.0,Female,Engineering,5890.0,8.0,0.0,Yes,No
30.0,Male,Finance,7612.0,32.0,12.0,Yes,No
26.0,Female,Finance,4639.0,20.0,14.0,No,Yes
40.0,Female,Finance,14190.0,22.0,2.0,Yes,Yes
47.0,Female,Finance,4462.0,22.0,9.0,Yes,No
47.0,Male,Hr,9733.0,8.0,4.0,No,No
39.0,Female,Sales,7136.0,24.0,0.0,Yes,No
58.0,Male,Marketing,5922.0,4.0,0.0,Yes,Yes
22.0,Male,Hr,6544.0,8.0,2.0,No,No
59.0,Male,Marketing,4375.0,26.0,1.0,No,No
48.0,Male,Marketing,12765.0,12.0,3.0,Yes,No
51.0,Male,Hr,13485.0,26.0,24.0,Yes,No
21.0,Male,Sales,9240.0,23.0,16.0,No,No
29.0,Male,Marketing,16039.0,31.0,0.0,Yes,No
35.0,Female,Marketing,7024.0,27.0,25.0,Yes,Yes
51.0,Male,Sales,10518.0,28.0,27.0,No,No
56.0,Non-Binary,Finance,15030.0,22.0,5.0,Yes,No
51.0,Male,Sales,17772.0,7.0,6.0,Yes,No
43.0,Female,Finance,4268.0,36.0,16.0,No,No
31.0,Female,Sales,9654.0,9.0,5.0,Yes,Yes
24.0,Female,Finance,4030.0,12.0,3.0,Yes,No
35.0,Non-Binary,Finance,8335.0,17.0,2.0,Yes,No
25.0,Non-Binary,Finance,3898.0,28.0,25.0,Yes,No
35.0,Female,Finance,16224.0,4.0,4.0,Yes,No
46.0,Non-Binary,Marketing,13576.0,16.0,8.0,Yes,No
29.0,Female,Finance,11911.0,39.0,18.0,Yes,Yes
56.0,Non-Binary,Sales,9891.0,1.0,1.0,No,No
50.0,Female,Sales,5783.0,21.0,5.0,Yes,No
24.0,Male,Sales,14763.0,1.0,1.0,No,No
57.0,Male,Sales,8472.0,7.0,4.0,Yes,Yes
39.0,Male,Engineering,6266.0,24.0,13.0,No,No
42.0,Female,Engineering,7721.0,37.0,11.0,Yes,Yes
44.0,Male,Marketing,3164.0,23.0,4.0,No,No
53.0,Male,Marketing,11381.0,1.0,0.0,Yes,No
48.0,Female,Sales,14290.0,6.0,4.0,No,No
41.0,Non-Binary,Hr,7297.0,4.0,2.0,Yes,Yes
52.0,Female,Sales,2723.0,25.0,3.0,Yes,No
49.0,Female,Hr,14311.0,33.0,17.0,No,No
24.0,Male,Hr,3933.0,5.0,5.0,No,No
57.0,Female,Marketing,4443.0,6.0,2.0,Yes,No
41.0,Female,Hr,8045.0,29.0,8.0,No,No
28.0,Female,Sales,9602.0,26.0,8.0,No,No
55.0,Female,Hr,8722.0,22.0,18.0,No,No
37.0,Female,Hr,6757.0,6.0,5.0,Yes,No
43.0,Male,Hr,11871.0,5.0,1.0,Yes,No
53.0,Non-Binary,Hr,9063.0,22.0,11.0,No,No
51.0,Male,Marketing,5679.0,39.0,31.0,No,Yes
42.0,Male,Engineering,14445.0,13.0,3.0,Yes,No
20.0,Male,Marketing,15496.0,8.0,7.0,No,No
33.0,Male,Engineering,14717.0,31.0,7.0,Yes,Yes
30.0,Male,Finance,10940.0,34.0,13.0,Yes,No
39.0,Non-Binary,Hr,16753.0,10.0,5.0,No,No
36.0,Female,Engineering,5679.0,27.0,21.0,Yes,No
22.0,Male,Marketing,10043.0,17.0,3.0,Yes,No
48.0,Female,Engineering,16235.0,15.0,14.0,Yes,No
25.0,Male,Finance,9403.0,5.0,3.0,No,Yes
34.0,Male,Sales,11786.0,5.0,0.0,Yes,No
22.0,Female,Marketing,13901.0,22.0,4.0,No,No
35.0,Male,Marketing,16920.0,22.0,8.0,No,No
45.0,Male,Finance,4127.0,24.0,10.0,Yes,No
53.0,Male,Hr,15481.0,4.0,3.0,Yes,No
46.0,Female,Sales,8998.0,27.0,14.0,No,No
44.0,Female,Finance,11007.0,16.0,13.0,No,No
53.0,Female,Engineering,4628.0,26.0,26.0,No,No
28.0,Male,Hr,12877.0,36.0,14.0,No,No
48.0,Female,Finance,3597.0,14.0,13.0,Yes,No
48.0,Female,Marketing,3274.0,19.0,6.0,No,No
47.0,Non-Binary,Marketing,3944.0,21.0,14.0,No,No
22.0,Male,Hr,12334.0,11.0,1.0,No,No
28.0,Non-Binary,Engineering,12786.0,20.0,4.0,No,No
47.0,Male,Finance,9358.0,26.0,16.0,Yes,No
51.0,Female,Finance,4312.0,38.0,24.0,Yes,No
40.0,Male,Hr,9836.0,27.0,6.0,Yes,No
38.0,Female,Engineering,10890.0,13.0,5.0,No,No
54.0,Male,Marketing,45683.49132420091,28.0,19.0,No,No
40.0,Female,Sales,14353.0,38.0,0.0,No,No
31.0,Female,Finance,9104.0,8.0,4.0,Yes,No
21.0,Female,Sales,17629.0,19.0,0.0,Yes,No
35.0,Male,Sales,6884.0,25.0,0.0,Yes,No
55.0,Male,Sales,3904.0,5.0,3.0,Yes,No
49.0,Male,Finance,6830.0,19.0,9.0,No,Yes
23.0,Non-Binary,Engineering,10020.0,35.0,14.0,No,No
51.0,Male,Marketing,6520.0,8.0,5.0,Yes,No
26.0,Male,Sales,14450.0,16.0,14.0,Yes,No
48.0,Non-Binary,Sales,12678.0,23.0,0.0,No,Yes
53.0,Female,Hr,17848.0,22.0,21.0,Yes,No
55.0,Male,Finance,7341.0,20.0,9.0,Yes,No
30.0,Female,Hr,13649.0,10.0,0.0,Yes,No
40.0,Female,Finance,14914.0,15.0,5.0,No,Yes
25.0,Male,Engineering,3034.0,33.0,18.0,Yes,No
59.0,Male,Hr,4277.0,3.0,1.0,No,No
50.0,Male,Marketing,13772.0,29.0,7.0,No,No
31.0,Non-Binary,Sales,8688.0,38.0,26.0,No,No
46.0,Male,Marketing,8454.0,2.0,0.0,Yes,No
54.0,Male,Marketing,11160.0,23.0,20.0,No,Yes
49.0,Male,Finance,15508.0,34.0,30.0,No,No
43.0,Non-Binary,Finance,17128.0,3.0,3.0,Yes,No
29.0,Male,Marketing,6178.0,3.0,1.0,Yes,No
25.0,Female,Sales,8868.0,14.0,1.0,Yes,No
25.0,Male,Finance,15301.0,32.0,30.0,Yes,Yes
40.0,Male,Sales,45683.49132420091,23.0,6.0,No,No
56.0,Female,Marketing,45683.49132420091,15.0,2.0,No,No
39.0,Female,Hr,2740.0,23.0,10.0,No,No
25.0,Non-Binary,Finance,13827.0,30.0,12.0,No,No
51.0,Male,Marketing,9939.0,23.0,11.0,No,Yes
52.0,Non-Binary,Finance,5223.0,6.0,4.0,No,Yes
33.0,Female,Hr,7651.0,9.0,2.0,No,No
55.0,Male,Finance,8904.0,29.0,17.0,Yes,Yes
34.0,Female,Hr,45683.49132420091,10.0,3.0,No,Yes
43.0,Female,Finance,15615.0,1.0,1.0,No,No
44.0,Female,Engineering,14978.0,19.0,14.0,Yes,No
46.0,Female,Hr,13247.0,28.0,22.0,No,No
40.0,Male,Engineering,16847.0,4.0,2.0,Yes,No
29.0,Female,Sales,12459.0,8.0,6.0,Yes,No
27.0,Female,Marketing,14289.0,9.0,7.0,Yes,No
43.0,Female,Finance,12461.0,33.0,19.0,No,Yes
59.0,Male,Engineering,11975.0,5.0,3.0,Yes,No
28.0,Male,Engineering,16952.0,7.0,3.0,Yes,No
48.0,Male,Marketing,4420.0,38.0,13.0,No,Yes
20.0,Male,Engineering,16211.0,9.0,7.0,Yes,No
40.0,Male,Sales,13859.0,18.0,17.0,No,No
33.0,Male,Finance,12380.0,32.0,17.0,Yes,No
33.0,Non-Binary,Marketing,9026.0,22.0,8.0,Yes,No
42.0,Female,Finance,2773.0,1.0,1.0,Yes,No
45.0,Female,Marketing,17771.0,36.0,15.0,Yes,No
43.0,Female,Sales,45683.49132420091,36.0,18.0,No,No
53.0,Female,Sales,15989.0,2.0,1.0,No,No
54.0,Male,Marketing,45683.49132420091,24.0,3.0,No,No
32.0,Female,Finance,45683.49132420091,14.0,8.0,No,No
37.0,Male,Sales,6780.0,11.0,0.0,No,No
54.0,Male,Finance,5947.0,3.0,2.0,Yes,No
58.0,Female,Hr,10200.0,12.0,11.0,No,No
22.0,Male,Finance,6876.0,25.0,7.0,Yes,No
24.0,Female,Sales,11352.0,22.0,8.0,Yes,No
37.0,Female,Finance,6772.0,29.0,7.0,No,No
31.0,Non-Binary,Finance,5937.0,4.0,0.0,Yes,No
59.0,Male,Engineering,2962.0,34.0,11.0,Yes,Yes
43.0,Male,Marketing,17085.0,6.0,1.0,Yes,No
49.0,Female,Finance,45683.49132420091,36.0,6.0,No,Yes
58.0,Female,Engineering,14794.0,26.0,16.0,No,Yes
51.0,Male,Engineering,16470.0,13.0,12.0,No,No
30.0,Female,Finance,14244.0,22.0,5.0,No,No
45.0,Female,Marketing,12967.0,26.0,15.0,Yes,No
52.0,Male,Finance,4940.0,34.0,13.0,No,No
24.0,Male,Engineering,10301.0,10.0,0.0,Yes,No
22.0,Non-Binary,Engineering,14292.0,9.0,2.0,No,No
34.0,Non-Binary,Sales,15972.0,21.0,9.0,No,No
38.0,Male,Sales,11082.0,34.0,17.0,Yes,No
51.0,Male,Marketing,14189.0,25.0,18.0,No,No
46.0,Male,Hr,2517.0,35.0,20.0,Yes,No
40.0,Female,Engineering,15809.0,21.0,10.0,No,No
27.0,Female,Finance,13019.0,38.0,10.0,No,No
24.0,Male,Engineering,13604.0,10.0,10.0,No,No
44.0,Female,Finance,3464.0,23.0,1.0,Yes,No
33.0,Female,Engineering,12987.0,39.0,29.0,Yes,Yes
31.0,Female,Finance,15026.0,18.0,6.0,No,No
57.0,Male,Engineering,16741.0,29.0,16.0,No,No
55.0,Male,Engineering,3812.0,14.0,13.0,Yes,No
45.0,Male,Engineering,12820.0,19.0,7.0,Yes,No
50.0,Female,Marketing,12455.0,31.0,13.0,No,No
22.0,Female,Hr,7499.0,5.0,0.0,Yes,No
46.0,Male,Hr,4805.0,27.0,16.0,No,No
59.0,Male,Marketing,15419.0,17.0,16.0,No,No
34.0,Non-Binary,Hr,17346.0,28.0,23.0,No,No
39.0,Female,Marketing,6051.0,12.0,11.0,Yes,No
41.0,Female,Sales,16983.0,38.0,21.0,No,No
32.0,Male,Hr,17322.0,34.0,3.0,No,No
28.0,Non-Binary,Finance,13194.0,38.0,19.0,No,No
57.0,Male,Finance,45683.49132420091,23.0,17.0,No,No
57.0,Female,Engineering,16074.0,32.0,6.0,No,No
45.0,Male,Engineering,45683.49132420091,22.0,15.0,Yes,No
49.0,Non-Binary,Hr,16759.0,25.0,5.0,Yes,Yes
29.0,Male,Sales,14106.0,12.0,4.0,Yes,No
33.0,Female,Engineering,10945.0,5.0,1.0,Yes,Yes
49.0,Female,Sales,11526.0,25.0,13.0,No,No
36.0,Female,Hr,14511.0,11.0,8.0,No,No
29.0,Non-Binary,Engineering,17908.0,15.0,8.0,No,No
